!! request processed by HyperLeda Tue Oct 21 01:08:22 2014
!! Number of lines in uploaded file: 1014
                  name                  |      vdis       |      bri25      |      mabs       |
ESO383-049                              |  74.08          |  23.4           | -19.757         |
PGC048520                               |                 | 23.827          | -22.142         |
PGC048627                               |                 | 23.311          | -20.693         |
PGC048637                               |                 | 24.499          | -20.542         |
PGC048641                               |                 | 24.684          | -20.558         |
PGC048735                               |                 | 23.441          | -21.51          |
IC0920                                  |                 | 23.018          | -21.426         |
ESO325-016                              |  268.09         | 23.326          | -21.637         |
PGC048852                               |                 | 22.929          | -20.555         |
ESO445-028                              |  246.98         | 23.269          | -20.074         |
ESO383-076                              |  322.61         | 23.997          | -23.45          |
PGC048899                               |                 | 23.219          | -20.648         |
IC0939                                  |                 | 23.496          | -20.716         |
PGC048979                               |                 | 24.005          | -21.627         |
PGC049008                               |                 | 24.411          | -21.668         |
PGC049225                               |                 | 23.292          | -20.29          |
IC0948                                  |  296.54         | 23.522          | -20.929         |
PGC049443                               |                 |  22.9           | -19.895         |
PGC049481                               |                 | 23.539          | -21.052         |
PGC049572                               |                 | 24.12           | -19.203         |
PGC049601                               |                 | 23.623          | -20.608         |
PGC049714                               |                 | 23.663          | -19.807         |
PGC049746                               |                 | 23.946          | -21.31          |
PGC049757                               |                 | 23.011          | -19.498         |
PGC049811                               |                 | 23.583          | -21.358         |
PGC049959                               |                 | 23.489          | -19.65          |
PGC050048                               |                 | 23.507          | -20.28          |
PGC050081                               |                 | 23.174          | -21.621         |
PGC050143                               |                 | 23.202          | -21.873         |
PGC050201                               |                 | 23.704          | -19.24          |
PGC050265                               |                 | 23.733          | -21.213         |
ESO384-055                              |  299.23         | 23.753          | -22.432         |
PGC050520                               |                 | 23.835          | -20.591         |
PGC050523                               |                 | 23.693          | -22.576         |
ESO326-006                              |                 | 22.93           | -20.873         |
IC0986                                  |                 | 23.178          | -20.737         |
PGC050783                               |                 | 24.133          | -20.48          |
PGC050830                               |                 |                 |                 |
PGC050861                               |                 | 24.729          | -19.549         |
IC0989                                  |  185.26         | 22.838          | -21.491         |
PGC051028                               |                 | 24.185          | -21.167         |
PGC051063                               |                 | 23.849          | -21.378         |
ESO511-021                              |                 | 23.38           | -21.215         |
PGC051147                               |                 | 23.186          | -20.58          |
PGC051260                               |                 | 23.459          | -20.82          |
PGC051373                               |                 | 23.849          | -21.023         |
ESO385-017                              |  147.02         | 23.607          | -20.222         |
PGC051394                               |                 | 23.413          | -21.627         |
PGC051430                               |                 | 24.316          | -21.761         |
PGC051679                               |  284.04         | 23.502          | -20.613         |
PGC051788                               |                 | 23.313          | -21.559         |
PGC051804                               |                 | 23.249          | -21.838         |
PGC052056                               |                 | 23.235          | -20.432         |
PGC052065                               |                 | 24.287          | -21.133         |
IC4451                                  |  231.72         | 23.487          | -20.866         |
PGC052241                               |                 |                 |                 |
PGC052588                               |                 | 24.01           | -20.507         |
PGC052646                               |                 | 23.405          | -20.036         |
PGC052692                               |                 | 23.42           | -20.242         |
PGC052706                               |                 | 23.438          | -19.28          |
PGC052821                               |                 | 23.777          | -20.759         |
PGC052845                               |                 | 23.366          | -19.563         |
PGC052959                               |                 | 23.447          | -21.057         |
ESO327-023                              |  267.92         | 23.513          | -21.59          |
PGC053146                               |                 | 23.541          | -20.692         |
IC1068                                  |                 | 23.515          | -20.961         |
PGC053266                               |                 | 23.526          | -19.947         |
PGC053399                               |                 | 23.735          | -20.807         |
PGC053521                               |  64.67          | 23.536          | -17.571         |
PGC053612                               |                 | 24.044          | -20.898         |
PGC053640                               |                 | 23.817          | -19.616         |
PGC053654                               |                 |  23.6           | -18.918         |
ESO581-016                              |  167.44         | 23.477          | -20.544         |
ESO022-007                              |                 | 24.122          |                 |
PGC053889                               |                 | 23.564          | -20.597         |
PGC053922                               |                 | 23.538          | -20.89          |
PGC054088                               |                 | 23.767          | -20.931         |
ESO067-009                              |                 | 23.281          | -20.726         |
ESO274-006                              |                 | 23.575          | -20.275         |
ESO387-016                              |  199.07         | 23.811          | -20.229         |
ESO514-001                              |                 | 23.044          | -22.096         |
PGC054907                               |  251.82         | 24.491          | -21.458         |
ESO137-006                              |  355.47         | 23.137          | -22.058         |
ESO137-007                              |                 | 22.921          | -21.436         |
ESO137-008                              |  280.84         | 23.305          | -21.589         |
ESO517-012                              |                 | 23.891          | -20.123         |
PGC058810                               |                 |                 |                 |
ESO137-045                              |  210.4          | 22.957          | -20.9           |
PGC059596                               |                 | 23.324          | -21.629         |
ESO519-003                              |                 |                 |                 |
ESO044-018                              |                 | 23.45           | -20.556         |
PGC061795                               |                 | 23.758          | -20.781         |
IC4721A                                 |                 |                 |                 |
IC4723                                  |                 | 22.79           | -19.038         |
ESO140-031                              |  203.24         | 23.211          | -19.972         |
IC4742                                  |  222.97         | 23.55           | -21.369         |
IC4753                                  |                 | 22.39           | -20.356         |
PGC062370                               |  101.82         |                 |                 |
PGC062391                               |  243.44         | 23.902          | -22.529         |
IC4765                                  |  280.35         | 24.093          | -22.115         |
ESO104-007                              |  227.33         | 24.396          | -20.403         |
PGC062423                               |  195.12         | 23.776          | -20.599         |
PGC062441                               |                 |                 |                 |
ESO231-012                              |                 | 22.983          | -19.063         |
ESO231-014                              |                 | 23.91           | -22.162         |
PGC062713                               |                 |                 |                 |
ESO184-005                              |                 | 23.71           | -20.764         |
ESO231-017                              |  161.44         | 22.713          | -19.68          |
ESO282-010                              |  239.33         | 23.803          | -20.79          |
ESO282-024                              |  290.26         | 23.634          | -21.469         |
PGC063027                               |                 | 24.396          | -17.477         |
IC4842                                  |  167.74         | 23.992          | -20.689         |
ESO105-004                              |  225.79         | 23.641          | -20.351         |
PGC063388                               |                 |                 |                 |
PGC063458                               |                 | 23.662          | -21.18          |
PGC063510                               |                 | 23.963          | -22.122         |
PGC063651                               |                 | 23.323          | -20.293         |
ESO283-020                              |  211.35         | 24.133          | -20.616         |
ESO142-049                              |  229.62         | 23.541          | -20.041         |
PGC043301                               |                 |                 | -17.383         |
ESO142-054                              |                 | 23.408          | -18.594         |
PGC063905                               |                 |                 |                 |
PGC063952                               |                 | 24.051          | -21.957         |
ESO284-009                              |                 | 23.555          | -20.938         |
ESO143-005                              |                 | 23.859          |                 |
PGC064173                               |                 | 23.697          | -22.307         |
PGC064208                               |                 | 24.571          | -20.185         |
PGC064210                               |  356.45         |                 | -22.535         |
PGC064213                               |                 | 23.653          | -20.745         |
PGC064215                               |  155.81         | 23.846          | -20.312         |
